feature_id,layer_id,name_ar,candidate_images,manually_reviewed_images,verified_correct_images,public_rights_images,approved_primary_images,approved_gallery_images,rights_unknown_images,deferred_images,rejected_images,coverage_status
WH-LY-001-0024,world-heritage,معبد دوري,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0025,world-heritage,الحمامات الشرقية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0026,world-heritage,المسرح,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0027,world-heritage,ضريح قصر شداد,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,1,0,0,0,0,0,1,1,0,blocked_by_rights
WH-LY-001-0028,world-heritage,قوس الإمبراطور تراجان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0029,world-heritage,ضريح زرجام,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0030,world-heritage,نيمافيوم,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0031,world-heritage,معبد جوبيتير,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0032,world-heritage,الجدار البيزنطي,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0033,world-heritage,ضريح الدويرات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0034,world-heritage,متحف الفسيفساء,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0035,world-heritage,مقاهي واستراحة وموقف سيارات,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0036,world-heritage,مطعم الجرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0037,world-heritage,ساحة الرياضة (بالسترا),0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0038,world-heritage,متحف الفسيفساء,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0039,world-heritage,معبد سيرابيس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0040,world-heritage,وادي لبدة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0041,world-heritage,مصيف الخمس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0042,world-heritage,متحف لبدة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0043,world-heritage,مطعم الجرة,0,0,0,0,0,0,0,0,0,no_verified_images
WH-MAIN-001-C0044,world-heritage,قوس ماركوس أوروليوس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0044,world-heritage,حمامات هادريان,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0045,world-heritage,الساحة السيفيرية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0046,world-heritage,البوابة البيزنطية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0047,world-heritage,باسيلقا سيفيروس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0048,world-heritage,السوق الرومانية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0049,world-heritage,Christian church,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-001-0002,world-heritage,المسرح الروماني الخمس _ ليبيا,1,0,0,0,0,0,1,1,0,blocked_by_rights
WH-LY-001-0050,world-heritage,ميدان السباق,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0001,world-heritage,شارع الآثار,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0002,world-heritage,ريجيو السادس,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0003,world-heritage,البوابة البيزنطية الجنوبية,0,0,0,0,0,0,0,0,0,no_verified_images
WH-LY-002-C0004,world-heritage,المعبد الإنطوائي,0,0,0,0,0,0,0,0,0,no_verified_images
