publication_id,image_id,master_image_id,feature_id,layer_id,role,sequence,original_source_relative_path,web_large_path,web_medium_path,thumbnail_path,original_width,original_height,web_large_width,web_large_height,web_medium_width,web_medium_height,thumbnail_width,thumbnail_height,format,quality_setting,orientation_corrected,metadata_removed,original_preserved,rights_status,publication_permission,source_credit,attribution_required,notes
B1-PUB-B1IMG-000149,IMG-F337A4A0542B93A1,IMG-F337A4A0542B93A1,LY-TRI-000013,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00013-01.png,assets/media/LIBYA/old-cities/LY-TRI-000013/LY-TRI-000013__primary__01__A4A0542B93A1__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000013/LY-TRI-000013__primary__01__A4A0542B93A1__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000013/LY-TRI-000013__primary__01__A4A0542B93A1__thumbnail.webp,526,701,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000159,IMG-73034B1252F2B117,IMG-73034B1252F2B117,LY-TRI-000017,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00017-01.png,assets/media/LIBYA/old-cities/LY-TRI-000017/LY-TRI-000017__primary__01__4B1252F2B117__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000017/LY-TRI-000017__primary__01__4B1252F2B117__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000017/LY-TRI-000017__primary__01__4B1252F2B117__thumbnail.webp,720,769,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000161,IMG-17E525E917C50B33,IMG-17E525E917C50B33,LY-TRI-000018,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00018-01.png,assets/media/LIBYA/old-cities/LY-TRI-000018/LY-TRI-000018__primary__01__25E917C50B33__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000018/LY-TRI-000018__primary__01__25E917C50B33__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000018/LY-TRI-000018__primary__01__25E917C50B33__thumbnail.webp,960,946,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000165,IMG-1472B2C55FF38B98,IMG-1472B2C55FF38B98,LY-TRI-000019,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00019-01.png,assets/media/LIBYA/old-cities/LY-TRI-000019/LY-TRI-000019__primary__01__B2C55FF38B98__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000019/LY-TRI-000019__primary__01__B2C55FF38B98__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000019/LY-TRI-000019__primary__01__B2C55FF38B98__thumbnail.webp,2048,1366,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000167,IMG-C367AA1928CC784B,IMG-C367AA1928CC784B,LY-TRI-000020,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00020-01.png,assets/media/LIBYA/old-cities/LY-TRI-000020/LY-TRI-000020__primary__01__AA1928CC784B__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000020/LY-TRI-000020__primary__01__AA1928CC784B__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000020/LY-TRI-000020__primary__01__AA1928CC784B__thumbnail.webp,720,960,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000179,IMG-24E06D53C1B0141C,IMG-24E06D53C1B0141C,LY-TRI-000022,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00022-01.png,assets/media/LIBYA/old-cities/LY-TRI-000022/LY-TRI-000022__primary__01__6D53C1B0141C__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000022/LY-TRI-000022__primary__01__6D53C1B0141C__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000022/LY-TRI-000022__primary__01__6D53C1B0141C__thumbnail.webp,540,720,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000181,IMG-05B7819E57490E9C,IMG-05B7819E57490E9C,LY-TRI-000024,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00024-01.png,assets/media/LIBYA/old-cities/LY-TRI-000024/LY-TRI-000024__primary__01__819E57490E9C__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000024/LY-TRI-000024__primary__01__819E57490E9C__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000024/LY-TRI-000024__primary__01__819E57490E9C__thumbnail.webp,1290,1291,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000187,IMG-7D42E7C8F411D21D,IMG-7D42E7C8F411D21D,LY-TRI-000025,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00025-02.png,assets/media/LIBYA/old-cities/LY-TRI-000025/LY-TRI-000025__primary__01__E7C8F411D21D__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000025/LY-TRI-000025__primary__01__E7C8F411D21D__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000025/LY-TRI-000025__primary__01__E7C8F411D21D__thumbnail.webp,415,739,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000193,IMG-23577D9C80D1964B,IMG-23577D9C80D1964B,LY-TRI-000027,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00027-01.png,assets/media/LIBYA/old-cities/LY-TRI-000027/LY-TRI-000027__primary__01__7D9C80D1964B__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000027/LY-TRI-000027__primary__01__7D9C80D1964B__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000027/LY-TRI-000027__primary__01__7D9C80D1964B__thumbnail.webp,700,525,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
B1-PUB-B1IMG-000199,IMG-9112643CDF6C2C46,IMG-9112643CDF6C2C46,LY-TRI-000038,old-tripoli,primary,1,assets/images/old-tripoli/old-tripoli-LY-OLD-TRIPOLI-00038-01.png,assets/media/LIBYA/old-cities/LY-TRI-000038/LY-TRI-000038__primary__01__643CDF6C2C46__web-large.webp,assets/media/LIBYA/old-cities/LY-TRI-000038/LY-TRI-000038__primary__01__643CDF6C2C46__web-medium.webp,assets/media/LIBYA/old-cities/LY-TRI-000038/LY-TRI-000038__primary__01__643CDF6C2C46__thumbnail.webp,526,701,,,,,,,webp,86,true,true,true,institutional_publication_approval,public,مركز المعلومات والتوثيق السياحي,true,Institutionally approved Batch 1 derivative.
