link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,destination_identity_status,duplicate_group_id,master_image_id,rights_status,publication_permission,review_status,recommended_action,replacement_image_id,manual_review_completed,notes
B1CUR-00037,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-4E78CAD5E554177F,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-007.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00188,IMG-4E78CAD5E554177F,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00038,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-72B85AFA6CA0250D,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-008.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00194,IMG-72B85AFA6CA0250D,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00039,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-A3C461DB57C74A23,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-009.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00684,IMG-A3C461DB57C74A23,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00040,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-3CDE9251AE52D7C7,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-010.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00101,IMG-3CDE9251AE52D7C7,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00041,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-124B33A5F5D5F40B,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-011.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00624,IMG-124B33A5F5D5F40B,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00042,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-A921BDB1470142C4,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-012.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00083,IMG-A921BDB1470142C4,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00043,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-3D2566CF42357128,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-013.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00622,IMG-3D2566CF42357128,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00044,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-D7DF4A3E27FA5969,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-014.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00335,IMG-D7DF4A3E27FA5969,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00045,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-23CE781AE35FECBC,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-015.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00261,IMG-23CE781AE35FECBC,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
B1CUR-00046,WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,IMG-5F35D97208234680,assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-official-016.jpeg,gallery,true,acceptable,cannot_determine,cannot_determine,DUP-00696,IMG-5F35D97208234680,unknown,requires_review,current_link_defer,manual_visual_and_rights_review,,false,Technical existence only.
