"layer","placemark","raw_path","actual_filesystem_path","resolved_url","http_status","result"
"old-tripoli","فندق زميت الأثري","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4gizkHleGpFSFlFLU9xrcihvmFJ4DAYdsRrDCFLRp6b7rDiB8IHYfErClB-TBNUWcbaF-ZFFjqSHIeCf02doC7WQ7Qu8gUtHBSL7NRCeSsRFk_o9iCC6oajs4g55O8agoc2H-vgqzGvE8tI1RMpARZiQWQVLkKq7Ts2j-MAL6M6tWZI80RhuwHwFdcHCtn-L2G4zQj43j_hB4iRYYrDGFC8azONv9tdxo0rAuabUtOE5hivcuEI0yeaNQ?authuser=1&fife=s16383","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4gizkHleGpFSFlFLU9xrcihvmFJ4DAYdsRrDCFLRp6b7rDiB8IHYfErClB-TBNUWcbaF-ZFFjqSHIeCf02doC7WQ7Qu8gUtHBSL7NRCeSsRFk_o9iCC6oajs4g55O8agoc2H-vgqzGvE8tI1RMpARZiQWQVLkKq7Ts2j-MAL6M6tWZI80RhuwHwFdcHCtn-L2G4zQj43j_hB4iRYYrDGFC8azONv9tdxo0rAuabUtOE5hivcuEI0yeaNQ?authuser=1&fife=s16383","200","decode_failed_browser"
"old-tripoli","فندق زميت الأثري","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7BRRxD8Zn5D1zrZLrC7hpxjFFYZgTzJGKiHMS6vqsvuvqsUfTgBUGA8txtQuQcPS7oeWlTjUUBHdAEwLY8gX-eRMnH2zEesdSLdMbtslNJIXJrfuBvvdHxC6gPtCPRxnlhUUeaq39Uj-dbonNyhki_yV1Qaaq1unXy9qWmf9j-1QlvwzrIY310woCtq1JAjbigifZvL9jQAj1PqlN8rz1-YHNRFBbcB8f7WLPYE00N23zsiPbUK2wZlRE?authuser=1&fife=s16383","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7BRRxD8Zn5D1zrZLrC7hpxjFFYZgTzJGKiHMS6vqsvuvqsUfTgBUGA8txtQuQcPS7oeWlTjUUBHdAEwLY8gX-eRMnH2zEesdSLdMbtslNJIXJrfuBvvdHxC6gPtCPRxnlhUUeaq39Uj-dbonNyhki_yV1Qaaq1unXy9qWmf9j-1QlvwzrIY310woCtq1JAjbigifZvL9jQAj1PqlN8rz1-YHNRFBbcB8f7WLPYE00N23zsiPbUK2wZlRE?authuser=1&fife=s16383","200","decode_failed_browser"
"old-tripoli","فندق زميت الأثري","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6dD7kSQla9_fFPeZPJkgJ1pfjXf2tzOPMf6xiCT69Zl2no-ZZMs0UBSBu0E5evr859k8jhQHRoZs-xBLiFLrEFsqTRMMvnL6j0TaEK8amh3dVt6RwW15QdLJmpcQTSQoCtKtXNOfdCvyapy15NKujJnsSgLRm6h9nK3rlIKIlGV0Gs380WD-XO7_9fH3SM5Wjv5YmIUTSHLk-Jl2oENDyvk0xsgc5c0YGnGhbXn3JaFIKZZRU-FhTVN4E?authuser=1&fife=s16383","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6dD7kSQla9_fFPeZPJkgJ1pfjXf2tzOPMf6xiCT69Zl2no-ZZMs0UBSBu0E5evr859k8jhQHRoZs-xBLiFLrEFsqTRMMvnL6j0TaEK8amh3dVt6RwW15QdLJmpcQTSQoCtKtXNOfdCvyapy15NKujJnsSgLRm6h9nK3rlIKIlGV0Gs380WD-XO7_9fH3SM5Wjv5YmIUTSHLk-Jl2oENDyvk0xsgc5c0YGnGhbXn3JaFIKZZRU-FhTVN4E?authuser=1&fife=s16383","200","decode_failed_browser"
