image_id,source_relative_path,master_image_id,layer_id,feature_id,feature_name_ar,feature_name_en,linkage_basis,layer_assignment_status,feature_linkage_status,primary_image,gallery_image,institutional_display_authorization,rights_status,derivative_status,runtime_status,notes
IMG-1F0A2FD80CCFC1DC,assets/media/LIBYA/heritage/WH-LY-001-0001/WH-LY-001-0001__primary__01__9FA57565D0E7__web-medium.webp,,world-heritage,WH-LY-001-0001,قوس سبتيموس سفيروس,Arch of Septimus severus,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-57156157C9351E26,assets/media/LIBYA/heritage/leptis-magna/published/roman-market/roman-market-001.jpg,,world-heritage,WH-LY-001-0048,السوق الرومانية,Romanian Market,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-64609839069E57A7,assets/media/LIBYA/heritage/WH-LY-001-0002/WH-LY-001-0002__primary__01__0511C574D4E7__web-medium.webp,,world-heritage,WH-LY-001-0002,المسرح الروماني الخمس _ ليبيا,Roman Theatre of Leptis Magna,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-CDF1E2BF923AC08F,assets/media/LIBYA/Sabratha/published/roman-museum/sabratha-roman-museum-001.jpg,,world-heritage,WH-LY-002-C0019,متحف روماني,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-0803C2F9BAA21F89,assets/media/LIBYA/Sabratha/published/roman-museum/sabratha-roman-museum-002.JPG,,world-heritage,WH-LY-002-C0019,متحف روماني,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-6DB127FF1B8F0465,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,true,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-F78F10A4148F6E2F,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-002.jpeg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-5DF94A8CDA4BB51B,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-003.jpg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-BFA7F2F5AFEB8F18,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-004.jpg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
IMG-EC0AD69624B3D381,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-005.jpg,,world-heritage,WH-LY-002-C0042,مسرح صبراته الأثري,,existing_link,user_curated_confirmed,confirmed,false,true,approved,unknown,existing,linked,Existing runtime linkage preserved.
