change_id,layer_id,feature_id,change_type,field_name,old_value,new_value,reason,source_case_id,confidence,timestamp,reversible,notes
CHG-000031,hotels,LY-HOT-000119,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000244""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000032,hotels,LY-HOT-000121,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000245""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000033,hotels,LY-HOT-000122,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000248""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000034,hotels,LY-HOT-000124,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000249""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000035,hotels,LY-HOT-000125,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000250""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000036,hotels,LY-HOT-000126,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000255""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000037,hotels,LY-HOT-000127,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000259""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000038,hotels,LY-HOT-000317,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000570""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000039,hotels,LY-HOT-000435,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000437""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000040,hotels,LY-HOT-000436,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000438""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000041,hotels,LY-HOT-000477,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000479""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000042,hotels,LY-HOT-000478,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000480""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000043,hotels,LY-HOT-000563,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000565""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000044,hotels,LY-HOT-000564,merge,canonical_record,{},"{""retired_ids"": [""LY-HOT-000566""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000045,investment,LY-INV-HOT-NAT-00014,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00099""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000046,investment,LY-INV-HOT-NAT-00016,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00103""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000047,investment,LY-INV-HOT-NAT-00017,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00104""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000048,investment,LY-INV-HOT-NAT-00018,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00105""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000049,investment,LY-INV-HOT-TRI-00012,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-TRI-00022""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000050,investment,LY-INV-HOT-NAT-00020,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00106""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000051,investment,LY-INV-HOT-NAT-00021,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00107""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000052,investment,LY-INV-HOT-NAT-00025,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00109""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000053,investment,LY-INV-HOT-NAT-00026,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00110""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000054,investment,LY-INV-HOT-NAT-00027,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00111""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000055,investment,LY-INV-HOT-NAT-00028,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00113""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000056,investment,LY-INV-HOT-NAT-00029,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00114""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000057,investment,LY-INV-HOT-NAT-00033,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00116""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000058,investment,LY-INV-HOT-MIS-00004,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-MIS-00006""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000059,investment,LY-INV-HOT-NAT-00039,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00125""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000060,investment,LY-INV-HOT-NAT-00042,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00128""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000061,investment,LY-INV-HOT-NAT-00043,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00131""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000062,investment,LY-INV-HOT-NAT-00044,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00133""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000063,investment,LY-INV-HOT-NAT-00048,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00143""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000064,investment,LY-INV-HOT-NAT-00049,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00144""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000065,investment,LY-INV-HOT-NAT-00050,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00145""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000066,investment,LY-INV-HOT-NAT-00051,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00147""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000067,investment,LY-INV-HOT-NAT-00052,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00155""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000068,investment,LY-INV-HOT-NAT-00164,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-TRI-00019""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000069,investment,LY-INV-HOT-NAT-00055,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00167""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000070,investment,LY-INV-HOT-NAT-00056,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00168""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000071,investment,LY-INV-HOT-NAT-00057,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00169""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000072,investment,LY-INV-HOT-NAT-00058,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00170""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000073,investment,LY-INV-HOT-NAT-00061,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00171""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000074,investment,LY-INV-HOT-NAT-00062,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00172""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000075,investment,LY-INV-HOT-NAT-00063,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00178""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000076,investment,LY-INV-HOT-NAT-00066,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-NAT-00186""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
CHG-000077,investment,LY-INV-HOT-ZLI-00001,merge,canonical_record,{},"{""retired_ids"": [""LY-INV-HOT-ZLI-00002""]}",Strict duplicate cluster merged and archived,,high,2026-08-06T19:17:18Z,true,Phase 1 trace record.
