feature_id,name_ar,facility_type,city_ar,candidate_images,current_images,master_candidates,high_quality_candidates,acceptable_candidates,ambiguous_candidates,rights_known,rights_unknown,primary_candidate,gallery_candidates,manual_review_required,coverage_status
LY-HOT-000029,فندق أبراج الوسطى,hotel,"الشارع الرئيسي مقابل محطة الاقمار الصناعية, Sert, Libya",2,2,2,0,0,0,0,2,IMG-0F373BA333C2EBDE,2,true,strong_candidate_coverage
LY-HOT-000030,فندق طيبة,hostel,سبها حي عبدالكافي.. جزيرة التقويم والقياس,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000031,فندق قصر الفيروز,hostel,حي دمشق، بالقرب من مستشفى الخضراء ومحلات البيت المعمور للمواد المنزلية.طرابلس,6,6,6,0,0,0,0,6,IMG-4B53EBB6AABCC1D3,6,true,strong_candidate_coverage
LY-HOT-000032,Royal Gardens Hotels,hostel,العنوان: كازا لانجس - بجانب المؤسسة الوطنية للنفط و مقابل دار الافتاء جنة العريفطرابلس,3,3,3,0,0,0,0,3,IMG-5BA106F592D0332E,3,true,strong_candidate_coverage
LY-HOT-000033,فندق ابونواس,hotel,لا يوجد معلومات عن مرفق,0,0,0,0,0,0,0,0,,0,false,no_images
LY-HOT-000034,فندق احواص,hostel,يقع الفندق في شارع الفنيدقة، تحديداً في الجهة المقابلة لمبنى جامع الناقة (ويعرف أيضاً بمقابلته لجامع الفنيدقة),1,1,1,0,1,0,0,1,IMG-5ED99B628601EBD3,1,true,strong_candidate_coverage
LY-HOT-000035,فندق الانوار,hotel,فندق الانوار بالزاوية يقع علي الطريق الساحلي بالقرب من الاشارة الضوئية القرضابية,4,4,4,1,2,0,0,4,IMG-657CB03042B5C04B,4,true,strong_candidate_coverage
LY-HOT-000036,فندق الأخوة,hotel,"Omer almokhtar, Omer almokhtar، طرابلس",4,4,4,0,0,0,0,4,IMG-02413AAE55399FB1,4,true,strong_candidate_coverage
LY-HOT-000037,فندق الأصالة,hotel,طرابلس شارع بالخير مقابل مسجد بالخير,3,3,3,0,0,0,0,3,IMG-5806382F3E321975,3,true,strong_candidate_coverage
LY-HOT-000038,فندق الأصيل,hotel,طرابلس، شارع الجمهورية، بالقرب من جامع مولاي محمد وخلف المختبر الصحي المرجعي,5,5,5,0,0,0,0,5,IMG-2BEC7C4B87BFEE2A,5,true,strong_candidate_coverage
LY-HOT-000039,فندق الأندلس,hotel,شارع الكندي، متفرع من شارع عمر المختار، طرابلس، ليبيا,3,3,3,0,0,0,0,3,IMG-95E3447DAE58A495,3,true,strong_candidate_coverage
LY-HOT-000040,فندق البركة,hotel,شارع سناء محيدلي، مصراتة,4,4,4,0,0,0,0,4,IMG-4C26C96431EC63BA,4,true,strong_candidate_coverage
LY-HOT-000041,فندق البستان,hotel,السراج، طرابلس، ليبيا,5,5,5,0,0,0,0,5,IMG-A3FECBDF161B5CCE,5,true,strong_candidate_coverage
LY-HOT-000042,التاج للشقق الفندقية,hotel,شارع طرابلس، أمام ميدان الشهداء، مصراتة، ليبيا,2,2,2,0,0,0,0,2,IMG-C6DFB6BFEF341C5D,2,true,strong_candidate_coverage
LY-HOT-000043,(فندق الطُبجية )فندق التاجوري,hotel,المدينة القديمة طرابلس,0,0,0,0,0,0,0,0,,0,false,no_images
