link_id,feature_id,layer_id,feature_name_ar,facility_type,image_id,source_relative_path,current_role,file_exists,image_readable,technical_quality,master_image_id,duplicate_group_id,match_basis,visual_review_status,rights_status,recommended_action,manual_review_required,notes
B2-LINK-00017,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,hostel,IMG-7703B3398C7DF70E,assets/images/hotels/hotels-LY-HOTELS-00007-02.webp,gallery,true,true,thumbnail_only,IMG-7FB51DD7960436EF,DUP-00366,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00018,LY-HOT-000007,hotels,فندق لؤلؤة الخليج,hostel,IMG-732E1994D7D4EF4B,assets/images/hotels/hotels-LY-HOTELS-00007-03.webp,gallery,true,true,thumbnail_only,IMG-0DF8A715A9B5BE0F,DUP-01264,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00019,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,resort,IMG-5EB2C1FAE325444C,assets/images/hotels/hotels-LY-HOTELS-00008-04.webp,gallery,true,true,thumbnail_only,IMG-12962076A3275132,DUP-00948,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00020,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,resort,IMG-CCEFA42B6FCE0C72,assets/images/hotels/hotels-LY-HOTELS-00008-05.webp,gallery,true,true,thumbnail_only,IMG-EEFA7360E188E3E9,DUP-00232,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00021,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,resort,IMG-B496E4D876E85B25,assets/images/hotels/hotels-LY-HOTELS-00008-06.webp,gallery,true,true,thumbnail_only,IMG-B516A095E702B8B4,DUP-00148,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00022,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,resort,IMG-3C67E6809FD5E9E6,assets/images/hotels/hotels-LY-HOTELS-00008-07.webp,gallery,true,true,thumbnail_only,IMG-E5FEF0D97E268473,DUP-00375,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00023,LY-HOT-000009,hotels,العنود للشقق الفندقية,hotel,IMG-819089A3F33FB55C,assets/images/hotels/hotels-LY-HOTELS-00009-01.webp,gallery,true,true,thumbnail_only,IMG-E8A0ACB419E446F1,DUP-01222,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00024,LY-HOT-000009,hotels,العنود للشقق الفندقية,hotel,IMG-8302B3A52AE6F475,assets/images/hotels/hotels-LY-HOTELS-00009-02.webp,gallery,true,true,thumbnail_only,IMG-8E0A80A036FBC349,DUP-00426,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00025,LY-HOT-000009,hotels,العنود للشقق الفندقية,hotel,IMG-692F979223300C23,assets/images/hotels/hotels-LY-HOTELS-00009-03.webp,gallery,true,true,thumbnail_only,IMG-F971B4FC52EF7D77,DUP-00652,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00026,LY-HOT-000009,hotels,العنود للشقق الفندقية,hotel,IMG-DAE7BE536406D158,assets/images/hotels/hotels-LY-HOTELS-00009-04.webp,gallery,true,true,thumbnail_only,IMG-9E7099941982808B,DUP-00172,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00027,LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-55D8F93ACEA7906A,assets/images/hotels/hotels-LY-HOTELS-00010-01.webp,gallery,true,true,thumbnail_only,IMG-C703BA3F8EA4B26E,DUP-00643,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00028,LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-EA82B65A2B458435,assets/images/hotels/hotels-LY-HOTELS-00010-02.webp,gallery,true,true,thumbnail_only,IMG-5782AFEA9FC32E00,DUP-00085,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00029,LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-F2548E6563FBF140,assets/images/hotels/hotels-LY-HOTELS-00010-03.webp,gallery,true,true,thumbnail_only,IMG-5BA29A2AD9794D66,DUP-00980,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00030,LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-39AD2585FAA1C1B4,assets/images/hotels/hotels-LY-HOTELS-00010-04.webp,gallery,true,true,thumbnail_only,IMG-BD5AE29CFD421B85,DUP-00124,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00031,LY-HOT-000010,hotels,فندق الثريا,hotel,IMG-8F535C871C5F10F8,assets/images/hotels/hotels-LY-HOTELS-00010-05.webp,gallery,true,true,thumbnail_only,IMG-D4D00CD2677C29B4,DUP-00056,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00032,LY-HOT-000011,hotels,منتجع الينابيع السياحي,resort,IMG-65AB52B2F6CC48F7,assets/images/hotels/hotels-LY-HOTELS-00011-04.webp,gallery,true,true,high,IMG-84252D7DCE95F6A0,DUP-00952,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00033,LY-HOT-000011,hotels,منتجع الينابيع السياحي,resort,IMG-DF81B5FBDADD0871,assets/images/hotels/hotels-LY-HOTELS-00011-05.webp,gallery,true,true,high,IMG-90022B6C6261A0E8,DUP-00874,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00034,LY-HOT-000012,hotels,فندق برقة,hotel,IMG-119A09082CDA83D7,assets/images/hotels/hotels-LY-HOTELS-00012-01.webp,gallery,true,true,thumbnail_only,IMG-5568E8921219816B,DUP-00310,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00035,LY-HOT-000018,hotels,فندق الطاووس,hostel,IMG-70EDD68175987801,assets/images/hotels/hotels-LY-HOTELS-00018-01.webp,gallery,true,true,thumbnail_only,IMG-70EDD68175987801,DUP-00873,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00036,LY-HOT-000018,hotels,فندق الطاووس,hostel,IMG-5E40B38E935885E6,assets/images/hotels/hotels-LY-HOTELS-00018-02.webp,gallery,true,true,thumbnail_only,IMG-3F0019B1FB50CC2A,DUP-01203,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00037,LY-HOT-000018,hotels,فندق الطاووس,hostel,IMG-2C9B115E5AEA12E9,assets/images/hotels/hotels-LY-HOTELS-00018-03.webp,gallery,true,true,thumbnail_only,IMG-BD5C230F0F3E49A2,DUP-00558,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00038,LY-HOT-000018,hotels,فندق الطاووس,hostel,IMG-26DF96E261C14EE6,assets/images/hotels/hotels-LY-HOTELS-00018-04.webp,gallery,true,true,thumbnail_only,IMG-7F8085AC82D3F80B,DUP-00061,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00039,LY-HOT-000019,hotels,فندق الودان,hotel,IMG-6A860408D3A66731,assets/images/hotels/hotels-LY-HOTELS-00019-02.webp,gallery,true,true,thumbnail_only,IMG-8D9EA23C81887426,DUP-00826,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00040,LY-HOT-000019,hotels,فندق الودان,hotel,IMG-DB43D8167DF482F3,assets/images/hotels/hotels-LY-HOTELS-00019-03.webp,gallery,true,true,thumbnail_only,IMG-67FC91E64EB9249D,DUP-01094,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00041,LY-HOT-000019,hotels,فندق الودان,hotel,IMG-23AA573D976863BF,assets/images/hotels/hotels-LY-HOTELS-00019-04.webp,gallery,true,true,thumbnail_only,IMG-F4180DB62996EED6,DUP-00932,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00042,LY-HOT-000019,hotels,فندق الودان,hotel,IMG-2E69969DD1EF1BAB,assets/images/hotels/hotels-LY-HOTELS-00019-05.webp,gallery,true,true,thumbnail_only,IMG-B7C610ED65925F5D,DUP-00746,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00043,LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),hotel,IMG-872A6D479BE28E01,assets/images/hotels/hotels-LY-HOTELS-00020-02.webp,gallery,true,true,thumbnail_only,IMG-FCAE0E7CAF03F59D,DUP-00670,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00044,LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),hotel,IMG-253F76E0FE94EBF3,assets/images/hotels/hotels-LY-HOTELS-00020-03.webp,gallery,true,true,thumbnail_only,,,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00045,LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),hotel,IMG-62E2C2869EB72051,assets/images/hotels/hotels-LY-HOTELS-00020-04.webp,gallery,true,true,thumbnail_only,IMG-DA73381C48679FF7,DUP-00149,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00046,LY-HOT-000020,hotels,فندق دار السلام ( المسيرة سابقا ),hotel,IMG-066297BAC6AAE169,assets/images/hotels/hotels-LY-HOTELS-00020-05.webp,gallery,true,true,thumbnail_only,IMG-3D038DA6076E2102,DUP-00807,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00047,LY-HOT-000021,hotels,فندق سان جورج,hotel,IMG-3CBAB36D93017A02,assets/images/hotels/hotels-LY-HOTELS-00021-01.webp,gallery,true,true,thumbnail_only,IMG-A6E700E352D9D346,DUP-00888,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00048,LY-HOT-000021,hotels,فندق سان جورج,hotel,IMG-95CF601757354B3F,assets/images/hotels/hotels-LY-HOTELS-00021-02.webp,gallery,true,true,thumbnail_only,IMG-DA3F97E70275903E,DUP-00467,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00049,LY-HOT-000021,hotels,فندق سان جورج,hotel,IMG-6B6A6F7DC87798A5,assets/images/hotels/hotels-LY-HOTELS-00021-03.webp,gallery,true,true,thumbnail_only,IMG-21B747EF21AF4EB2,DUP-00602,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00050,LY-HOT-000021,hotels,فندق سان جورج,hotel,IMG-D029A97AEA25937B,assets/images/hotels/hotels-LY-HOTELS-00021-04.webp,gallery,true,true,thumbnail_only,IMG-02C2E0F3E00D62FE,DUP-01215,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00051,LY-HOT-000022,hotels,فندق الحسنين الكبير,hostel,IMG-19C3F36AD1E19044,assets/images/hotels/hotels-LY-HOTELS-00022-01.webp,gallery,true,true,thumbnail_only,IMG-7F6D30A79425F860,DUP-00650,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00052,LY-HOT-000022,hotels,فندق الحسنين الكبير,hostel,IMG-5E9DCD4D059C7AD9,assets/images/hotels/hotels-LY-HOTELS-00022-02.webp,gallery,true,true,thumbnail_only,IMG-806E5F9FF99C0997,DUP-00704,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00053,LY-HOT-000022,hotels,فندق الحسنين الكبير,hostel,IMG-314F97456D2A7EB2,assets/images/hotels/hotels-LY-HOTELS-00022-03.webp,gallery,true,true,thumbnail_only,IMG-30873D3AF2BC6450,DUP-00498,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00054,LY-HOT-000023,hotels,بيوت الشباب,hostel,IMG-56A6440E48860943,assets/images/hotels/hotels-LY-HOTELS-00023-01.webp,gallery,true,true,thumbnail_only,IMG-764C36CA540766FE,DUP-00630,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00055,LY-HOT-000023,hotels,بيوت الشباب,hostel,IMG-FD2787C91485695B,assets/images/hotels/hotels-LY-HOTELS-00023-02.webp,gallery,true,true,acceptable,IMG-9B59C43D9CD1C18B,DUP-00763,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
B2-LINK-00056,LY-HOT-000023,hotels,بيوت الشباب,hostel,IMG-F51E7FC26DAC2D45,assets/images/hotels/hotels-LY-HOTELS-00023-03.webp,gallery,true,true,high,IMG-C19301E8DA3E8463,DUP-00566,existing_link,not_individually_verified,unknown,retain_candidate,true,No Batch 2 approval or visual review inferred.
