feature_id,image_id,gallery_order,gallery_role,master_image_id,visual_match_status,rights_status,publication_permission,manual_review_completed,notes
LY-HOT-000020,IMG-253F76E0FE94EBF3,1,candidate,,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000020,IMG-62E2C2869EB72051,1,candidate,IMG-DA73381C48679FF7,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000020,IMG-066297BAC6AAE169,1,candidate,IMG-3D038DA6076E2102,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000021,IMG-3CBAB36D93017A02,1,candidate,IMG-A6E700E352D9D346,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000021,IMG-95CF601757354B3F,1,candidate,IMG-DA3F97E70275903E,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000021,IMG-6B6A6F7DC87798A5,1,candidate,IMG-21B747EF21AF4EB2,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000021,IMG-D029A97AEA25937B,1,candidate,IMG-02C2E0F3E00D62FE,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000022,IMG-19C3F36AD1E19044,1,candidate,IMG-7F6D30A79425F860,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000022,IMG-5E9DCD4D059C7AD9,1,candidate,IMG-806E5F9FF99C0997,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000022,IMG-314F97456D2A7EB2,1,candidate,IMG-30873D3AF2BC6450,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000023,IMG-56A6440E48860943,1,candidate,IMG-764C36CA540766FE,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000023,IMG-FD2787C91485695B,1,candidate,IMG-9B59C43D9CD1C18B,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000023,IMG-F51E7FC26DAC2D45,1,candidate,IMG-C19301E8DA3E8463,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000023,IMG-E1B016E4293C4E28,1,candidate,IMG-E1B016E4293C4E28,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000024,IMG-F5D8E40E6C1EA4DB,1,candidate,IMG-ECA705914F3DDBD7,not_individually_verified,unknown,pending_institutional_approval,false,
LY-HOT-000024,IMG-E7D3068BC5E134C3,1,candidate,IMG-FB213F7408D70E4A,not_individually_verified,unknown,pending_institutional_approval,false,
