link_id,feature_id,layer_id,feature_name_ar,image_id,source_relative_path,current_role,file_exists,technical_quality,visual_match_status,duplicate_group_id,master_image_id,rights_status,publication_permission,verification_status,recommended_action,replacement_image_id,evidence,confidence,manual_review_required,notes
P2LINK-000021,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,IMG-B496E4D876E85B25,assets/images/hotels/hotels-LY-HOTELS-00008-06.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00148,IMG-B516A095E702B8B4,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000022,LY-HOT-000008,hotels,فندق التلال الوسيطة البيضاء,IMG-3C67E6809FD5E9E6,assets/images/hotels/hotels-LY-HOTELS-00008-07.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00375,IMG-E5FEF0D97E268473,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000023,LY-HOT-000009,hotels,العنود للشقق الفندقية,IMG-819089A3F33FB55C,assets/images/hotels/hotels-LY-HOTELS-00009-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-01222,IMG-E8A0ACB419E446F1,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000024,LY-HOT-000009,hotels,العنود للشقق الفندقية,IMG-8302B3A52AE6F475,assets/images/hotels/hotels-LY-HOTELS-00009-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00426,IMG-8E0A80A036FBC349,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000025,LY-HOT-000009,hotels,العنود للشقق الفندقية,IMG-692F979223300C23,assets/images/hotels/hotels-LY-HOTELS-00009-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00652,IMG-F971B4FC52EF7D77,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000026,LY-HOT-000009,hotels,العنود للشقق الفندقية,IMG-DAE7BE536406D158,assets/images/hotels/hotels-LY-HOTELS-00009-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00172,IMG-9E7099941982808B,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000027,LY-HOT-000010,hotels,فندق الثريا,IMG-55D8F93ACEA7906A,assets/images/hotels/hotels-LY-HOTELS-00010-01.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00643,IMG-C703BA3F8EA4B26E,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000028,LY-HOT-000010,hotels,فندق الثريا,IMG-EA82B65A2B458435,assets/images/hotels/hotels-LY-HOTELS-00010-02.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00085,IMG-5782AFEA9FC32E00,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000029,LY-HOT-000010,hotels,فندق الثريا,IMG-F2548E6563FBF140,assets/images/hotels/hotels-LY-HOTELS-00010-03.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00980,IMG-5BA29A2AD9794D66,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
P2LINK-000030,LY-HOT-000010,hotels,فندق الثريا,IMG-39AD2585FAA1C1B4,assets/images/hotels/hotels-LY-HOTELS-00010-04.webp,gallery,true,thumbnail_only,cannot_determine,DUP-00124,IMG-BD5AE29CFD421B85,unknown,requires_review,valid_but_rights_unknown,retain_reference_defer_publication,,"automatic_validation: file, hash, feature and relative path checked",technical_only,true,Existence is not visual identity or rights verification.
