review_id,image_id,thumbnail_path,file_name,possible_destination,possible_layer,possible_feature_id,review_reason,technical_quality,duplicate_group_id,rights_status,recommended_action,reviewer_decision,verified_feature_id,verified_role,verified_rights_status,reviewer_name,review_date,notes
IMGREV-000020,IMG-BB80552A00B503C7,,akakus-LY-AKAKUS-00010-01.webp,akakus,akakus,LY-AKAKUS-00010-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00649,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000021,IMG-EA21F41CC2974D82,,akakus-LY-AKAKUS-00011-01.png,akakus,akakus,LY-AKAKUS-00011-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00922,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000022,IMG-88FFA70148510022,,akakus-LY-AKAKUS-00011-01.webp,akakus,akakus,LY-AKAKUS-00011-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-00922,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000023,IMG-BE0CB3D8E6BD1A40,,akakus-LY-AKAKUS-00012-01.png,akakus,akakus,LY-AKAKUS-00012-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000024,IMG-E2AFBD92CE0D195F,,akakus-LY-AKAKUS-00012-01.webp,akakus,akakus,LY-AKAKUS-00012-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000025,IMG-CCB20E326BA10BCC,,akakus-LY-AKAKUS-00013-01.png,akakus,akakus,LY-AKAKUS-00013-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000026,IMG-D7304010670B6676,,akakus-LY-AKAKUS-00013-01.webp,akakus,akakus,LY-AKAKUS-00013-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000027,IMG-FE005B51516F9E12,,akakus-LY-AKAKUS-00014-01.png,akakus,akakus,LY-AKAKUS-00014-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000028,IMG-006344B4761C5D72,,akakus-LY-AKAKUS-00014-01.webp,akakus,akakus,LY-AKAKUS-00014-01,rights_unknown|thumbnail_only,thumbnail_only,,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000029,IMG-DA62F0242AEA478C,,akakus-LY-AKAKUS-00016-01.png,akakus,akakus,LY-AKAKUS-00016-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01151,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
IMGREV-000030,IMG-6CD0CFD90939A291,,akakus-LY-AKAKUS-00016-01.webp,akakus,akakus,LY-AKAKUS-00016-01,rights_unknown|thumbnail_only|duplicate_review,thumbnail_only,DUP-01151,unknown,verify destination and rights; select master if duplicate,,,,,,,Original remains in place.
