image_id,source_relative_path,feature_ids,layer_ids,usage_count,usage_classification,primary_usage_count,recommended_action,manual_review_completed,notes
IMG-5F0B87CC56980023,assets/images/hotels/hotels-LY-HOTELS-00314-04.webp,LY-HOT-000314|LY-HOT-000446,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-C1997F4EB6ECAB93,assets/images/hotels/hotels-LY-HOTELS-00345-01.webp,LY-HOT-000345|LY-HOT-000346,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-F184080C2E496B05,assets/images/hotels/hotels-LY-HOTELS-00345-02.webp,LY-HOT-000345|LY-HOT-000346,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-5875E6DDBB7440C2,assets/images/hotels/hotels-LY-HOTELS-00345-03.webp,LY-HOT-000345|LY-HOT-000346,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-9C201294D2C9C54F,assets/images/hotels/hotels-LY-HOTELS-00345-04.webp,LY-HOT-000345|LY-HOT-000346,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-A3238C4AC13F9C7F,assets/images/hotels/hotels-LY-HOTELS-00399-01.webp,LY-HOT-000399|LY-HOT-000400,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-9067216E5A3805E8,assets/images/hotels/hotels-LY-HOTELS-00399-02.webp,LY-HOT-000399|LY-HOT-000400,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-C3173B5D0FED640E,assets/images/hotels/hotels-LY-HOTELS-00399-04.webp,LY-HOT-000399|LY-HOT-000400,hotels,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-78BA295438D199F4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG,WH-LY-003-C0005|WH-WORLD-C0002,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
IMG-99899EC2678C9DF4,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,WH-LY-003-C0005|WH-WORLD-C0002,world-heritage,2,requires_review,0,human_visual_review,false,Shared use is not automatically valid.
