path,filename,width,height,format,sha256,keywords,likely_feature,publication_status,duplicate_group,used_currently
assets/media/LIBYA/heritage/cyrene/published/review-required/review-72969284b0.jpg,review-72969284b0.jpg,3840,2560,JPEG,b9c46e481a7f8e41f1bdf515658c3547782b7e444ff6f0e2d58cd2faef62c220,,unmatched,review_required,DUP-0026,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-76ccc697a4.jpg,review-76ccc697a4.jpg,3840,2560,JPEG,c7a9fd02311eba5fe4ce5a5052f8ceecb7262477fc65809acbeb47ba27cc3c49,,unmatched,review_required,DUP-0027,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-78b4642f60.jpg,review-78b4642f60.jpg,580,400,JPEG,ae2557533cfe00f28d176136b127704d59183d1ee6a5fbf4b6530e1b030a06a9,,unmatched,review_required,DUP-0028,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-7d11f9bcf3.jpg,review-7d11f9bcf3.jpg,3840,2560,JPEG,48723337a3a41a7d873b724254312869e3321332948d987ede4f90c909ce50bd,,unmatched,review_required,DUP-0029,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-85af1906ad.jpg,review-85af1906ad.jpg,3840,2560,JPEG,e148aab6e937e18b910fd4299f1ed280fd8491f8ece576e4c10a25c5888d6579,,unmatched,review_required,DUP-0030,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-91be78e4ee.jpg,review-91be78e4ee.jpg,3840,2560,JPEG,97907accbcb83363300396af4e8641e2738719c72058ff29c2ac5bd8224a074a,,unmatched,review_required,DUP-0031,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-99a16182b4.jpg,review-99a16182b4.jpg,3840,2560,JPEG,e0d7b8838c589609fc3d62465e907b184a5639bf18b5b155cc3e1bda9e6644b9,,unmatched,review_required,DUP-0032,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-a3332bf382.jpg,review-a3332bf382.jpg,615,461,JPEG,889723d9fe9ef4d252a35ff1eaf685352c60f8bc71883e438abea72e7abd5700,,unmatched,review_required,DUP-0033,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-b02c7ab31a.jpg,review-b02c7ab31a.jpg,3840,2560,JPEG,c6ba773eb765917761d111e1bccfda580c1615b7c2e8f0d56d500d47d7de89da,,unmatched,review_required,DUP-0034,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-b0b6bb1d6d.jpg,review-b0b6bb1d6d.jpg,1152,768,JPEG,fc3009248fcae6e76cd2cb779d5041e34d3911fa2ce7a6dd6408e826022d5fe4,,unmatched,review_required,DUP-0035,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-bc22f21551.jpg,review-bc22f21551.jpg,600,400,JPEG,e8eaf1bf5928842b94ca497bedc977403e28fdefbe96dbeee3d7a52f186ccc8a,,unmatched,review_required,DUP-0036,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-c0dd264185.jpg,review-c0dd264185.jpg,3840,2560,JPEG,ea76e0554692b13ce1f92698680ccede707c7b205199534380ebedb1aa2408ec,,unmatched,review_required,DUP-0037,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-c778cfda13.jpg,review-c778cfda13.jpg,1578,1113,JPEG,c7829386455e43490508c32cc5d71e9c5f1e39b694619759580d0c9ac3936505,,unmatched,review_required,DUP-0038,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-c7af1c2612.jpg,review-c7af1c2612.jpg,287,175,JPEG,4908410acc2a41a712ff5548c6b564b0ef624b6803fd94e52430e1466fd00dc6,,unmatched,review_required,DUP-0039,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-d4d5c57d0b.jpg,review-d4d5c57d0b.jpg,1471,1071,JPEG,4e98e1545e8e421e66843849a3cee4cdd2a96cffe0354a34dbc108fbf73a0041,,unmatched,review_required,DUP-0040,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-dda9031860.jpg,review-dda9031860.jpg,1600,900,JPEG,19dbcd6fedd5395165c401f4915d0269993766df9c418ae9059e9a5d46fb06bc,,unmatched,review_required,DUP-0041,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-e10605e90c.jpg,review-e10605e90c.jpg,3840,2560,JPEG,028b501e907506aaed7bd60909abad94a4d663d2a3f6b8857af1f4cdb50505c2,,unmatched,review_required,DUP-0042,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-e7f9585f09.jpg,review-e7f9585f09.jpg,640,360,JPEG,7ca0bd5dee4c91f811fc950ae71db5763075f13c5668d436ce03f49e2bd2d709,,unmatched,review_required,DUP-0043,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-e90f30b1b1.jpg,review-e90f30b1b1.jpg,3840,2560,JPEG,53ab374e7694bd85bc4f2a5ac693f9be1e90b1e70006b6af5f55a083b6e62f2e,,unmatched,review_required,DUP-0044,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-f330cda104.jpg,review-f330cda104.jpg,3840,2560,JPEG,09f0487139c23ff7e54847784651589119c539a655633d917b2c1953311363a6,,unmatched,review_required,DUP-0045,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-fd32703fc3.jpg,review-fd32703fc3.jpg,3840,2560,JPEG,ef29ec4fd9030e26abd5f318b98f8a98d1a5b718ac8c73ab54b05cb9f06408b7,,unmatched,review_required,DUP-0046,no
assets/media/LIBYA/heritage/cyrene/published/review-required/review-fd56e5c439.jpg,review-fd56e5c439.jpg,3840,2560,JPEG,9deb1d6f974ef0e7d727fee77ebad8675b2cb0ce6a41778c3de9cc9fa0a17d70,,unmatched,review_required,DUP-0047,no
شحات/450A2244.JPG,450A2244.JPG,3840,2560,JPEG,9deb1d6f974ef0e7d727fee77ebad8675b2cb0ce6a41778c3de9cc9fa0a17d70,,unmatched,official_local,DUP-0047,no
شحات/450A2245.JPG,450A2245.JPG,3840,2560,JPEG,ff77139ff6d27151b34d8f858bed8046dae1bbb3bb885139946d053d37060063,,unmatched,official_local,DUP-0021,no
شحات/450A2246.JPG,450A2246.JPG,3840,2560,JPEG,39bb48ef24484d32ebdac38a947051da5a3f781748f370d7b1f5e6dd504b181a,,unmatched,official_local,DUP-0004,no
