path,filename,extension,file_size,width,height,sha256,expected_site,publication_status,used_currently,duplicate_group
assets/media/LIBYA/heritage/leptis-magna/published/leptis-magna-official-030.jpeg,leptis-magna-official-030.jpeg,.jpeg,99453,1000,563,6a770fed97fb7b2c771df245e0ad9ae3b68ed460ee7762ec3e91b6e7d4f1f7a4,leptis,published,no,DUP-0109
assets/media/LIBYA/heritage/leptis-magna/published/leptis-magna-official-031.jpeg,leptis-magna-official-031.jpeg,.jpeg,73312,563,1000,6b42697d83fe65b873a69bdeb194c72db5e19627a8429ab8483efa727dd4da16,leptis,published,no,DUP-0110
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-colonnade.jpg,leptis-magna-colonnade.jpg,.jpg,96240,499,600,b686098d30e75955bb0794549b5665d640682ab39f73430ed01c51fb3346db7a,leptis,published,yes,DUP-0010
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-002.jpeg,leptis-magna-official-002.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,leptis,published,yes,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-003.jpeg,leptis-magna-official-003.jpeg,.jpeg,124432,1080,1080,57d62df802ad2c6517f6f72d1a61ff67e364024010b6479d0f09032063064ef7,leptis,published,yes,DUP-0084
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-004.jpeg,leptis-magna-official-004.jpeg,.jpeg,174820,1080,1080,d5179154990536a1faf19b6e92581196a3f9b4cdd9cea0122ee5f6a76a717898,leptis,published,yes,DUP-0083
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-005.jpeg,leptis-magna-official-005.jpeg,.jpeg,96507,810,1080,c8c4add5e99e03a9e78adb8fb8c868fef158c9acbd44d66d7a069edb58f9dc34,leptis,published,yes,DUP-0085
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-007.jpeg,leptis-magna-official-007.jpeg,.jpeg,85695,750,1000,4e78cad5e554177fc44ba4b9941ee13cef10f379f722ba1096db0f39c99d3544,leptis,published,yes,DUP-0087
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-008.jpeg,leptis-magna-official-008.jpeg,.jpeg,142567,1080,1080,72b85afa6ca0250d6afd0c2ba4dc098f4a300ec929ae439c537e7c4d7128d36e,leptis,published,yes,DUP-0088
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-009.jpeg,leptis-magna-official-009.jpeg,.jpeg,106007,750,1000,a3c461db57c74a23d1fdd58b7428ef8d293af0d06601c19c34a4d191cad62c8d,leptis,published,yes,DUP-0089
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-010.jpeg,leptis-magna-official-010.jpeg,.jpeg,129558,1080,811,3cde9251ae52d7c7e5bc45fcec714cb3f5e62424a6a427ba1199af28df218fb8,leptis,published,yes,DUP-0090
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-011.jpeg,leptis-magna-official-011.jpeg,.jpeg,135515,1000,750,124b33a5f5d5f40bafcc0469f5cb4961cf3591b7378ae443a8156907567934a8,leptis,published,yes,DUP-0091
assets/media/LIBYA/heritage/leptis-magna/published/main-site/leptis-magna-official-017.jpeg,leptis-magna-official-017.jpeg,.jpeg,78479,1080,811,342eb5deb4b9e970c9d74f0e81d12f472dd459c40056b44002a1826fb2dd422b,leptis,published,yes,DUP-0097
