original_filename,source_folder,relative_source_path,sha256,file_size,width,height,format,duplicate_group,visual_category,proposed_feature_id,proposed_feature_name_ar,proposed_feature_name_en,confidence,publication_status,rights_owner,rights_status,published_relative_path,review_notes
450A2284.JPG,official_center,شحات/450A2284.JPG,08d125f309e7cbd7b76d6505de5e325449a06198045ae04c1e29ede684d00635,3411047,3840,2560,JPEG,dup-08d125f309e7,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2285.JPG,official_center,شحات/450A2285.JPG,d41e93c247dde0352acb608c30fe9f3fd68638e3a19832acde4cd48504be98fd,3535125,3840,2560,JPEG,dup-d41e93c247dd,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2286.JPG,official_center,شحات/450A2286.JPG,c6ba773eb765917761d111e1bccfda580c1615b7c2e8f0d56d500d47d7de89da,2713516,3840,2560,JPEG,dup-c6ba773eb765,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2310.JPG,official_center,شحات/450A2310.JPG,a4a9d81308278952842455dd7ed9981c1d830232977349db5d973f0e6c362850,1930559,3840,2560,JPEG,dup-a4a9d8130827,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2321.JPG,official_center,شحات/450A2321.JPG,c7a9fd02311eba5fe4ce5a5052f8ceecb7262477fc65809acbeb47ba27cc3c49,3020348,3840,2560,JPEG,dup-c7a9fd02311e,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2323.JPG,official_center,شحات/450A2323.JPG,160b55f074aeb044486bac7eae786d849b235a02d805283a244f0d87e9d10d29,1770338,3840,2560,JPEG,dup-160b55f074ae,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2324.JPG,official_center,شحات/450A2324.JPG,e0d7b8838c589609fc3d62465e907b184a5639bf18b5b155cc3e1bda9e6644b9,3062987,3840,2560,JPEG,dup-e0d7b8838c58,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2325.JPG,official_center,شحات/450A2325.JPG,b9c46e481a7f8e41f1bdf515658c3547782b7e444ff6f0e2d58cd2faef62c220,2691164,3840,2560,JPEG,dup-b9c46e481a7f,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
450A2326.JPG,official_center,شحات/450A2326.JPG,e148aab6e937e18b910fd4299f1ed280fd8491f8ece576e4c10a25c5888d6579,2567285,3840,2560,JPEG,dup-e148aab6e937,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
DJI_0722.JPG,official_center,شحات/DJI_0722.JPG,78ba295438d199f41fdc43493cb88025b3ea59a50ae1ae553039b1845194553d,10944458,5472,3648,MPO,dup-78ba295438d1,main-site,WH-WORLD-C0002,موقع قورينا الأثري – شحات,Archaeological Site of Cyrene,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-001.JPG,صورة جوية عامة للموقع
DJI_0724.JPG,official_center,شحات/DJI_0724.JPG,99899ec2678c9df4f052ffccc94251da08f88f7b84654acf79c452273e9750b8,10858808,5472,3648,MPO,dup-99899ec2678c,main-site,WH-WORLD-C0002,موقع قورينا الأثري – شحات,Archaeological Site of Cyrene,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/heritage/cyrene/published/main-site/cyrene-main-aerial-002.JPG,صورة جوية عامة للموقع
FB_IMG_1648770111714.jpg,official_center,شحات/FB_IMG_1648770111714.jpg,fc3009248fcae6e76cd2cb779d5041e34d3911fa2ce7a6dd6408e826022d5fe4,154259,1152,768,JPEG,dup-fc3009248fca,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
images-11-1.jpg,official_center,شحات/images-11-1.jpg,f1022a6058a1ad26610f1be495e5da433059eab7246073414f8a1e09ffc5e725,11702,267,189,JPEG,dup-f1022a6058a1,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
images-5.jpg,official_center,شحات/images-5.jpg,4908410acc2a41a712ff5548c6b564b0ef624b6803fd94e52430e1466fd00dc6,11654,287,175,JPEG,dup-4908410acc2a,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
IMG_٢٠٢١٠٩٢٣_١٨٠٨٠٩.jpg,official_center,شحات/IMG_٢٠٢١٠٩٢٣_١٨٠٨٠٩.jpg,a6f80cf358a77b4ba3a67a3e47d5f7012e6bb49c117f86bfc951ada8f711eb5b,8388927,3264,2448,JPEG,dup-a6f80cf358a7,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
ااا.png,official_center,شحات/ااا.png,9466eab3c2a048d1cbaa5c6c62dc71108acfbe2d318c1f25121dd84a8857af96,651493,522,746,PNG,dup-9466eab3c2a0,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
اااااا.jpg,official_center,شحات/اااااا.jpg,0c883f8a230a5e5f6bbbfa97426381b722ccd3421af40e0f5071134a7807760d,282782,1570,850,JPEG,dup-0c883f8a230a,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات  1.jpg,official_center,شحات/شحات  1.jpg,19dbcd6fedd5395165c401f4915d0269993766df9c418ae9059e9a5d46fb06bc,465287,1600,900,JPEG,dup-19dbcd6fedd5,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات  3.jpg,official_center,شحات/شحات  3.jpg,e8eaf1bf5928842b94ca497bedc977403e28fdefbe96dbeee3d7a52f186ccc8a,74812,600,400,JPEG,dup-e8eaf1bf5928,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات  5.jpg,official_center,شحات/شحات  5.jpg,ae2557533cfe00f28d176136b127704d59183d1ee6a5fbf4b6530e1b030a06a9,47774,580,400,JPEG,dup-ae2557533cfe,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات 4.jpg,official_center,شحات/شحات 4.jpg,351ebd0d6c9c973aa51e11391ee397c3df1bb4cbb72d312572deb596dfce695c,60852,560,420,JPEG,dup-351ebd0d6c9c,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات 5.jpg,official_center,شحات/شحات 5.jpg,7ca0bd5dee4c91f811fc950ae71db5763075f13c5668d436ce03f49e2bd2d709,151978,640,360,JPEG,dup-7ca0bd5dee4c,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات 52.jpg,official_center,شحات/شحات 52.jpg,ecf5247b4446e099d31bbebbfca3084c080ae333208cd921d35c80a853e64822,103637,640,183,JPEG,dup-ecf5247b4446,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات 7.jpg,official_center,شحات/شحات 7.jpg,889723d9fe9ef4d252a35ff1eaf685352c60f8bc71883e438abea72e7abd5700,75567,615,461,JPEG,dup-889723d9fe9e,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات.JPG,official_center,شحات/شحات.JPG,b686098d30e75955bb0794549b5665d640682ab39f73430ed01c51fb3346db7a,96240,499,600,JPEG,dup-b686098d30e7,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات1 (2).jpg,official_center,شحات/شحات1 (2).jpg,c7829386455e43490508c32cc5d71e9c5f1e39b694619759580d0c9ac3936505,2929510,1578,1113,JPEG,dup-c7829386455e,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات2 (2).jpg,official_center,شحات/شحات2 (2).jpg,4e98e1545e8e421e66843849a3cee4cdd2a96cffe0354a34dbc108fbf73a0041,4179896,1471,1071,JPEG,dup-4e98e1545e8e,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
شحات4.jpg,official_center,شحات/شحات4.jpg,d169f224f12bdeb5f3a3bf0a9a5e074a9f5faa83e41942f4b4daa3ae1696663e,1097836,1225,908,JPEG,dup-d169f224f12b,review-required,,,,low,pending_review,مركز المعلومات والتوثيق السياحي,institutional_ownership,,لم تثبت مطابقة معلم فرعي؛ محفوظة للمراجعة
