feature_id,layer_id,name_ar,source_kml,source_placemark_index,id_basis,previous_candidate_id,id_status,notes
LY-TRI-000071,old-tripoli,جامع محمود خزنا دار,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000071,preserved,
LY-TRI-000077,old-tripoli,زاوية الكاتب,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000077,preserved,
LY-TRI-000079,old-tripoli,مبنى بنك دي روما,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000079,preserved,
LY-TRI-000082,old-tripoli,حوش القرمانللي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000082,preserved,
LY-TRI-000084,old-tripoli,جالاريا ماريوتي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000084,preserved,
LY-TRI-000087,old-tripoli,برج بوليلة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000087,preserved,
LY-TRI-000088,old-tripoli,المدرسة اليهودية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000088,preserved,
LY-TRI-000090,old-tripoli,المركز الصحي المدينة القديمة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000090,preserved,
LY-TRI-000094,old-tripoli,مطعم باب المدينة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000094,preserved,
LY-TRI-000096,old-tripoli,مقهى السيدة مريم,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000096,preserved,
LY-TRI-000097,old-tripoli,لاكورنو كافي,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000097,preserved,
LY-TRI-000098,old-tripoli,كافي دي روما,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000098,preserved,
LY-TRI-000099,old-tripoli,مقهي باديه,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000099,preserved,
LY-TRI-000100,old-tripoli,بيتزا درغوت,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000100,preserved,
LY-TRI-000101,old-tripoli,كازا كافيه,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000101,preserved,
LY-TRI-000102,old-tripoli,مطعم الأثار,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000102,preserved,
LY-TRI-000103,old-tripoli,مطعم فتوش المدينة القديمة ( قوس ماركوس ),data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000103,preserved,
LY-TRI-000105,old-tripoli,مطعم باب الحرية للمأكولات الشعبية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000105,preserved,
LY-TRI-000106,old-tripoli,باب البحر,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000106,preserved,
LY-TRI-000108,old-tripoli,باب عبدالله,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000108,preserved,
LY-TRI-000114,old-tripoli,باب درغوث,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000114,preserved,
LY-TRI-000115,old-tripoli,باب الحرية,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000115,preserved,
LY-TRI-000116,old-tripoli,سور المديمة القديمة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000116,preserved,
LY-TRI-000118,old-tripoli,سوق اللفة,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000118,preserved,
LY-TRI-000122,old-tripoli,سوق الرباع,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000122,preserved,
LY-TRI-000123,old-tripoli,سوق المشير,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000123,preserved,
LY-TRI-000126,old-tripoli,فندق زميت الأثري,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000126,preserved,
LY-TRI-000128,old-tripoli,فندق الخان,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000128,preserved,
LY-TRI-000129,old-tripoli,فندق ميزران,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000129,preserved,
LY-TRI-000132,old-tripoli,فندق القرقني,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000132,preserved,
LY-TRI-000134,old-tripoli,حمام درغوث الحمام الصغير,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,LY-TRI-000134,preserved,
WH-WORLD-C0002,world-heritage,موقع قورينا الأثري – شحات,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,WH-WORLD-C0002,preserved,
WH-MAIN-001,world-heritage,موقع لبدة الأثري – لبدة الكبرى – لبتس ماغنا,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,WH-MAIN-001,preserved,
WH-WORLD-C0001,world-heritage,موقع صبراتة الأثري,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,WH-WORLD-C0001,preserved,
WH-LY-001-0001,world-heritage,قوس سبتيموس سفيروس,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,WH-LY-001-0001,preserved,
WH-LY-001-0002,world-heritage,المسرح الروماني الخمس _ ليبيا,data/kml/final/old-tripoli.kml,,existing KML atlas feature ID,WH-LY-001-0002,preserved,
