feature_id,current_layer_id,name_ar,name_en,current_facility_type,proposed_facility_type,classification_basis,confidence,manual_confirmation_required,notes
LY-HOT-000053,hotels,فندق الديار,ADDEYAR HOTEL,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000054,hotels,فندق الرابطة,Al-Rabitah Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000055,hotels,فندق الرفيع,Al-Rafie Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000056,hotels,فندق الريان,Alrayan Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000057,hotels,فندق الزهر,Azzhar Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000058,hotels,فندق الزيتونة,Alzaytouna Hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000059,hotels,فندق السرايا,Assaraya Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000060,hotels,فندق زوارة,Zwara hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000061,hotels,فندق السندباد,Al-Sindbad Tourist Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000062,hotels,فندق الشجرة,Asshajara hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000063,hotels,فندق الشرق,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000064,hotels,فندق الشمس,Al-Shams Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000065,hotels,فندق الصفوة,Safwa hotel,hostel,hotel,runtime layer hotels,high,false,
LY-HOT-000066,hotels,فندق الصناعية مصراتة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000067,hotels,فندق الصولجان,محجوز بالكامل للواحة للنفط,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000068,hotels,فندق العاصمة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000069,hotels,فندق الغدامسية,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000070,hotels,فندق القرقني,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000071,hotels,فندق القوس,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000072,hotels,فندق الكبير,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000073,hotels,فندق الكرومة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000074,hotels,فندق الماسة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000075,hotels,فندق المتوسط,Almotawaset Hotel,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000076,hotels,فندق المدينة,,hotel,hotel,runtime layer hotels,high,false,
LY-HOT-000077,hotels,فندق المشكاة,,hotel,hotel,runtime layer hotels,high,false,
