source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
136,مقهى المشتل,مقهيالمشتل,13.0412944,32.81481,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
137,Be one cafe بي وان كافي,beonecafeبيوانكافي,13.0206647,32.7748854,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
138,قهوة حاتم,قهوهحاتم,13.073989,32.780306,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
139,Cafe 717,cafe717,13.0428462,32.8040753,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
140,حلويات موزارت - السياحية,حلوياتموزارتالسياحيه,13.064847,32.8465321,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
141,كاسترو للوجبات السريعة,كاستروللوجباتالسريعه,13.0743258,32.8451205,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
142,بلبن فرع السياحية,بلبنفرعالسياحيه,13.0773496,32.8543411,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
143,مقهى بيتزا الفورنو غوط الشعال,مقهيبيتزاالفورنوغوطالشعال,13.0889366,32.8574443,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
144,نوتيلا السياحيه,نوتيلاالسياحيه,13.0896346,32.8612182,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
145,مقهى - السراج,مقهيالسراج,13.0709172,32.8004915,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
146,DOPAMIN,dopamin,13.0782287,32.8052828,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
147,Aws coffee,awscoffee,13.0973821,32.8074618,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
148,A K Caffee,akcaffee,13.1129955,32.8064513,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
149,مطحن بُـن تــوبـاز 3 - السراج,مطحنبُـنتــوبـاز3السراج,13.1045469,32.7898303,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
150,Snake KOFFE,snakekoffe,13.094064,32.7954448,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
151,مطحن الاجم لتحميص وطحن القهوة ومستلزمات المطاحن والمقاهي,مطحنالاجملتحميصوطحنالقهوهومستلزماتالمطاحنوالمقاهي,13.0953971,32.790213,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
152,كافي أبوسنينة,كافيابوسنينه,13.0847106,32.796357,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
153,FoodPoint فود بوينت,foodpointفودبوينت,13.0844794,32.7977485,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
154,نادي القهوة Club café,ناديالقهوهclubcafé,13.0756111,32.8189057,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
155,مطعم صفيحة ترابزون - Trabzon Pidesi,مطعمصفيحهترابزونtrabzonpidesi,13.0790587,32.8188141,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
156,Kudo,kudo,13.1280574,32.856739,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
157,O2 Café,o2café,13.1247002,32.8752911,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
