source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
11,دا ميت هاوس,داميتهاوس,13.2032859,32.8758394,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6u-mFR2nfnFMjEJDh0dE5Y_-ShZv9bINMQqXFuPtzSBWL8rE16Y6w7l0L0hsK0ySPmxIPtYAU7Df7S2Lno4sT-O7MMECUzP7g13R6n5d-B2Gv1UBkmADLUgT7SKAsv_Bbu9o9AvSVSNXf2m2jZiaJ1HkezeF1Lef36GhTL7T55qIZpQ-7KOcyBzVInLKD4_Djue8czuh5zsSzQhc80Xm3z7f82DJslBa8lsy637NK495gJuAFzY4SYXic?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
12,مطعم الزرقاني للمأكولات الشعبية و الشرقية,مطعمالزرقانيللماكولاتالشعبيهوالشرقيه,13.1850769,32.8826957,valid,available,,no_image,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
13,بيتزا الفورنو شارع الجمهورية,بيتزاالفورنوشارعالجمهوريه,13.1836263,32.8804167,valid,available,,no_image,#icon-1577-FFD600-labelson,المطاعم في طرابلس,duplicate_name,unique,new_feature
14,مطعم السفير,مطعمالسفير,13.1843559,32.8928658,valid,available,,no_image,#icon-1577-FFD600-labelson,المطاعم في طرابلس,unique,unique,new_feature
15,مطعم لاباديلا,مطعملاباديلا,13.209313,32.887671,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7gPz8S6nHPbBu2uf3kjhVSVtmHPSwU8qoC_GT8xZyK_OG-I0Mf4PxGcd0R7XFRKMs68ue-nnmhr4X-9xc0gmwvtI5N7c9y9sYdbT2xnHwh7HcxfqdTMkShz6GjcLMWHXjvMPmLYQqowGg4ZxFgi82ies_WuknfT7HCQCN32uucEIbEOcKNlWF6BBkdDJAgkTXUuQ6L_EqLH85EP6lg_RBOlx7E38UxQokwsUBKmLMrSjtT1owYNRnQm1U?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-F9A825-labelson,المطاعم في طرابلس,unique,unique,new_feature
16,الاخطبوط للمشاوي و الوجبات السريعة و فواكه البحر - الظهر,الاخطبوطللمشاويوالوجباتالسريعهوفواكهالبحرالظهر,13.197489,32.890678,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR74v8qL1pFIqWcF23YOekWQsMMZhyU46e6g0jUc2VPDOfV44EGXbMyX_taygK99mwdc7seZKCguQGAMUu7qqi-ToD5S3TCU5sA09NoA8WToDEOKkxVzkCEDawRdSmD94QKTPzsO1TPh2RDEAxG-VHERiUTFfZ420pbJOv8ewBHqwTBvESzPUJK5PtIDT9zeUgXF5Gj0RCyZlJvl16R7T1VKH4GY_KsFgukyurU58nFID-TXuutWmITjxj0?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-F9A825-labelson,المطاعم في طرابلس,unique,unique,new_feature
17,الانيا قريل- شواية,الانياقريلشوايه,13.209232,32.892975,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7oZ9dk3jxLwm-YI-AWY5oBOT7845FTsMsSdx6MxrVNl0wgDIh2fT00vei1LU5-MEJZYTjYYh57-h7Gi4HMXUjBfTdfjhEkvSkK2_VF83z9vvx1n1o0ii5n5xFg0e-WBum2L2rRk9bkc75tcCsgWZ9lIosoy-65m9by9acMxy56UoYlwHkLOGjaU2n1Rc1o3K0WsiRj6rogjoWzOt5IxYZiOSAKBCpsenxtPeGDQcagR2d_fbutizYTETE?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-F9A825-labelson,المطاعم في طرابلس,unique,unique,new_feature
18,مذاق بكستاني - مطعم,مذاقبكستانيمطعم,13.203065,32.894209,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6jr6cUzlSYqQ9SeZ7ZqqdLbSZjiF0Y9sYrj7sdEzLpZRsib6wxi5g3IEKT9YBn4xCPm0CXyGyCB0JtYASvLmQ5EaD-SwL3epUCI_g_jiGQU3IG9nsN080GBoCokZLjv24XFfSsLVxZ8IOLoW8yaoQ2osxWxYE0KFApXfjVagCnUOXVRv-uOvY7epVI6--C3udxRlZUY_RbDdYeLUV-wIfNp9HNpVJFWti6ouW4nrEFIm3OGX-tbPfQ-xs?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-F9A825-labelson,المطاعم في طرابلس,unique,unique,new_feature
19,مطعم شوايا,مطعمشوايا,13.20639,32.875296,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR563oInuxx3wVBB-qfl3kKs1tQ1SKf9r7vMaxI-E_o-CxtPxnhOIz3ExI7Axoy5dvoXv5OYf-bVKrc3ILAZFUtRsqP1aVD5hT1w8tsnW98MozYXKltZ2RtwMgGH8UWYV1hN3J_OFAf1CKdUy6VIm0qMhvP488utenTOzPjaeQUPZZzRRpIpGEu9izfAwece2yHz6xRPIO90aWj9zBhJlU5d1FZbcsCWTyPKtUBG-vfjKO6t5Ym9zbmfs1g?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-F9A825-labelson,المطاعم في طرابلس,unique,unique,new_feature
20,مطعم القصر,مطعمالقصر,13.188201,32.889291,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7yzDT7okN4fCFjUeWge2--4BzTJBYcjdNiJbTrBjWLyraLE5WQE0xipGUTdkiRIHal7EsYY6eb8pBv_U6wGnqZIhfO3eEXbA8W2QGlEyn7kR0KDcPD-DtmvsTglXVy1sa1ARcOoSUAhypDZBW6nJ2_U-vKbEM7B4e7lq5nShv_x_Wma3EfmGiWsk62qx3VYb7-SRsi2gaAgGgVQ4XopaSjbbCgW-BRAb5mIdmKjBBU4jLLg0pu9HIKU6I?authuser=2&fife=s16383,temporary_source_reference,#icon-1577-FBC02D-labelson,المطاعم في طرابلس,unique,unique,new_feature
