id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-RES-TRI-00048,Bono restaurant المطعم التركي,international_restaurant,,13.176297,32.891514,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00049,مقهى البريوشة,review_required,,13.180983,32.894226,new_feature,low,36,temporary_source_reference
LY-FNB-RES-TRI-00050,بيتزا الفورنو شارع الجمهورية,fast_food,,13.183626,32.880417,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00051,Kudo restaurant,fast_food,,13.181427,32.894281,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00052,Maracana fast food,fast_food,,13.197512,32.891594,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00053,مطعم أضنة ADANA,international_restaurant,,13.17619,32.89182,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00054,مطعم على الفحم,restaurant,,13.165136,32.886017,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00055,De Capri Cafe And Restaurant,cafe_restaurant,,13.193646,32.888671,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00056,مطعم بورصة التركي,international_restaurant,,13.188237,32.890929,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00057,مطعم الضاحية,fast_food,,13.187186,32.887711,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00058,Pizza Restaurant,international_restaurant,,13.181219,32.894018,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00059,مطعم الضيافة للوجبات السريعة,restaurant,,13.175281,32.885651,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00060,Lavina House,review_required,,13.142667,32.879215,new_feature,low,36,temporary_source_reference
LY-FNB-RES-TRI-00061,بيكانتي,international_restaurant,,13.195502,32.890278,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00062,مطعم بيلو,dessert_shop,,13.188322,32.890738,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00063,مطعم بونا بيتي,restaurant,,13.206439,32.894614,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00064,شاورما ومشاوي قوستوزو,fast_food,,13.212695,32.893394,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00065,مطعم ديوان الامير,restaurant,,13.19553,32.864032,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00066,برانش كافي - برنش كافيه,review_required,,13.207182,32.899774,new_feature,low,36,temporary_source_reference
LY-FNB-RES-TRI-00067,مطعم ميلانو للوجبات السريعة,restaurant,,13.178499,32.874695,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00068,تاكور قريل,fast_food,,13.186712,32.884072,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00069,هامبوربو جاجا,fast_food,,13.181797,32.889634,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00070,مطعم الأزرقاني للمأكولات الشعبية و الشرقية,traditional_restaurant,,13.185077,32.882696,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00071,ديفيو سبان,review_required,,13.186459,32.883961,new_feature,low,36,temporary_source_reference
LY-FNB-RES-TRI-00072,مطعم المدينة التركية - شارع سليمان الباروني,international_restaurant,,13.179431,32.884117,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00073,مطعم المدق الدمشقي,international_restaurant,,13.183296,32.889619,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00074,مطعم بيت جدي للخدمات التمونية ، طرابلس ، ليبيا,traditional_restaurant,,13.211537,32.894756,new_feature,medium,45,temporary_source_reference
LY-FNB-RES-TRI-00075,شيزي زياد فرع زناتة,review_required,,13.229538,32.868994,new_feature,low,36,temporary_source_reference
