id,name_ar,facility_type_code,district_ar,longitude,latitude,match_status,data_quality_status,completeness_percent,image_status
LY-FNB-CAF-TRI-00330,مقهى هارون فرع السبعة,cafe,,13.2697762,32.8633454,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00331,SamboCoffee,coffee_shop,,13.2738007,32.862046,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00332,كوكيز,review_required,,13.2756887,32.865625,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00333,B&B Fast Food,review_required,,13.2733569,32.8773505,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00334,كافي تشينو Chino Cafe,cafe,,13.2694016,32.8910259,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00335,Cafe 55,cafe,,13.3366005,32.8636488,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00336,Vero caffe,coffee_shop,,13.3624039,32.8939773,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00337,مقهى هارون,cafe,,13.3769223,32.8944023,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00338,مقهى فينيسيا للبيتزا والمعجنات,cafe,,13.3882429,32.8906876,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00339,بيانكا -BIANCA,review_required,,13.3831993,32.894189,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00340,بيتزا الفوار 2,review_required,,13.3870749,32.8930237,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00341,تيك اوي,review_required,,13.3623341,32.8845618,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00342,Caffe 25,coffee_shop,,13.3631866,32.8730059,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00343,بانيني كافيه,cafe,,13.3706391,32.8725769,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00344,مقهى سيلفيوم,cafe,,13.35492,32.8721543,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00345,معمل القشطة,review_required,,13.3465639,32.8733294,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00346,Malek cafe,cafe,,13.3438452,32.8694982,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00347,Habibi caffe & games,coffee_shop,,13.3377785,32.8708528,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00348,مقهى الوسام,cafe,,13.3914636,32.8857322,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00349,مقهى الكبدة تاجوراء,cafe,,13.4089017,32.8720774,new_feature,low,27,no_image
LY-FNB-CAF-TRI-00350,Maram Kitchen,review_required,,13.3562062,32.8296918,new_feature,low,18,no_image
LY-FNB-CAF-TRI-00351,مقهى فيرونا VERONA CAFFE,coffee_shop,,13.348356,32.826264,new_feature,low,27,no_image
