source_index,source_name,normalized_name,geometry_type,longitude,latitude,centroid_longitude,centroid_latitude,polygon_vertices,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_geometry_status,xml_recovery_status,notes
11,قرية تيبودا السياحيه,قريهتيبوداالسياحيه,Point,12.05311,32.9545,12.05311,32.9545,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6tml2Dw54XAamlmHutr_r_epsKQUCtMQSJ1d3-fvTGqBNwBoq-2AgMP_Pun6R-vFNPqkmRq8HdG3iAUfHdAyk4_wL-OLHKUnVPICe0AbVQLOJ2VzXZ57fLx0-1bkfa3XSweaLd5b8K2d_vXa2eZs6drpDJgrQljelsF8alcTvUrHfPQ0s5Vg0vbeYBSp64fnXWT8AUrB2_ZkKxdoFM56LemVx8EjNAenXTc5A60n9vNu7QKaCksQeC1XA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
12,منتجع سيتي بارك زوارة,منتجعسيتيباركزواره,Point,12.10216,32.93167,12.10216,32.93167,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR7Tcwy-H9MmxOKa-pHX1GShUYtKPd9_8BZKRkzx5cerC9bMKdmVEdgds8c0bf8-WzOSOQUXClBgAAxRo5mia0aiS_nBezTFyb7w27eHAAsnvTTlQY3d8_Jb3gbSRvPJU8osciNCsY2boZkVxfKn-ou4lUJm2HC0z3MGMHO-jxCFAfrOjeHxumxdGs_mTQRlmXF6WQbt8TjYY3UWDBJuBnyg6hrHwNx3zxasZqZzvytYIrxqpSgQl0ov1kQ?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
13,قرية جوهرة صبراتة السياحية,قريهجوهرهصبراتهالسياحيه,Point,12.45843,32.8107,12.45843,32.8107,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4Q2mxlVRr5B3TPbdQ6xslSRA1-_XjtI7NNXaltRUndv99k27qNky1vEpj7lDErVxf3QoaDuB-u3McOFX2VDntYEAGRpAtJU1b4YV9nYQZTJcwlNqC65PoyLBAjrK4_JZ8ZGPvgVieNQnsky5P-vkuxws5pxMn9Tq2QBGsTkvtuvVKDfnom-RhlvXrNkRauqFjiQ7Onmv3n5uL5yoBKHiEmMt5ymCq1qmLj6cdkUJBnRAJQcXlECw0-_Z4?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
14,قرية المغرب العربي صبراتة,قريهالمغربالعربيصبراته,Point,12.3285944,32.8259566,12.3285944,32.8259566,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR61MdCxiNltgiSQCDV_h4ZCubQu2JJKslVdZfEskc5w88jVJwDMrIhPXu8w9TwrUJDbeE7_L6gAkNNRpEbQLgEc2ABPyuPAIWqwhVc-5I6GOQu0gO8hawkDEW2_PtE9NaC2PDOg8a2hAoswi9itxNE4N8wzmmsxot9vsbALj8f_Tf3zMmsee0SNuOGzW7vS_MjNu28np9-O_wBbEvxw9dN9gTG8hJbRYWfJv3kSOg_NgHWyz9y9CLHon3Q?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
15,مركب تليل السياحي_صبراتة,مركبتليلالسياحي_صبراته,Point,12.37648,32.81694,12.37648,32.81694,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6UIYNkmZbX-DVYfaz_K162Blb2TLVH00Uv-No5TaRoX3HJaczrxnAkkDIjnv5iWar7yPCPAQnjFemT6WIZ14N-lstDelKfju3c6OGjCwlvQxhx2lIjYtSVJjLs7gkKA47xu7QJOjTp2BeRdfyNgbggB12MP2S02UsJrWJc3acbz5Gcu5DSJkxt0XBVR5KPFuAtGt9pifE1DyC_kLTUhVZl61F4r2jU7qHSMJ8AC7yBTcOlYAvGXx8mkdA?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
16,القرية السياحية جنزور,القريهالسياحيهجنزور,Point,13.00864,32.83712,13.00864,32.83712,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR6TCnwQXJUBcrb2Xh6Kx65QU3rypoSlXiVdIsCC79sX96mBwtITkEgGTIQBbs-QdSY2efMToaBzs_2R656gRKjKqYmLMaM5tBXWZ58yzuiprPxTJeT-GGllqvbxhfnpz35qDNba-TY1qMabXT6ihg-LHTmvIDrY02BMHeCc507UBUw8jl9dkzn-YZL6zZMcUNzpba5_wPqGy5m3P1HVqr974mVPwDw0TdkkDapC5N-eGBu29dY0b41S3CY?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
17,قرية بالم سيتي/قرية النخيل السياحية طرابلس,قريهبالمسيتيقريهالنخيلالسياحيهطرابلس,Point,13.041687,32.848441,13.041687,32.848441,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5G2IJnjbjTosfkVlB9ttoQnbDcEYcsXFWNYFXjvKPq98Cc3K2jOcGAjhOV9LBzNwJmbCeD8nw6PwnrbOzYRjlW-HB6e144FK2JSh6Au_KcfjS_CqKCNqtFyeFR35GFQ0hqvUuY09pAnDfnse3POQuJickQxtAoRPaE1T_rupbMn942qjADQjjUfDKoxL37WpMmznu5-ybc7i03k2bC79oO9tIJxqGV2Ne8NzrzQg3dUMI8yow0J_-YmsM?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
18,القرية السياحية الريقاتة,القريهالسياحيهالريقاته,Point,13.05782,32.8521,13.05782,32.8521,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4NCxGnffuslO4SLDium47w4B1p_uslQgYrk7p0QArGJn4bEUU951ToPvfPOF34yD4PLoaS1dvrFoqJtCXCIFXo3HvP0DKkTLb8BXQdiqPVdGJwd1boFGaNjOHf8CVpLasGMWRxBNo-OlHM4plCW7EaxDuX60YWMEbmKS_BCfJVgPE4sXoCTXDd1IxCo9vQST-CFf-4sNODorU-BoEsr9K9v0Qv2MacPgqvgwJXX73sgKcQHGeUMptIs_E?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
19,مركب شيراتون - النقاط الأربعة,مركبشيراتونالنقاطالاربعه,Point,13.146279,32.880963,13.146279,32.880963,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR4savrMEwAMLVX3XzPkWJugofjugg_sUdyOO9RmXgy5piULqfS3b-j9HVpH-fP1DD-mxSicOqYiBBfBewGZgoArJeD0mE5bbCp4sHkQe0JuBd_8O0MYn66xvGJzrdVU96nmpdI3AoWl0ATr68wzCo6VKBrzgnNDdhLaKmmw63rpXe-0DxvcX39cKdyphOWK6XTOw2EaePQvR9-9_nDPLv1yWeLL6nQFlE43XQozLT27fnRir18Qpdf7osY?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
20,القرية السياحية تاجوراء,القريهالسياحيهتاجوراء,Point,13.42962,32.86297,13.42962,32.86297,0,valid,available,https://mymaps.usercontent.google.com/hostedimage/m/*/3AAjQbR5W8s0HRPjlwgZApNOntxcVZtok1HTRRjwQvX67S8i7A44MdbFLb6b_NTgXvGvrZvIb1OeYYL27mtkF7sEffaFC3_KXr3vVIdIAFrCW1EQCbTOJhfdvjj-f0_h4ap2xrFaO4xpmQe8KdMPdbQCpabpQeBlVfwAf9IgioyieQ-bisqYVp9MW8qmYqf30jugZGcu2-lCPpoQ352yWxUFsJZ8ukarfDBJEJMIdbZkpCwycHffefSKS5u2yPUQ?authuser=2&fife=s16383,temporary_remote_not_displayed,#icon-1521-880E4F-labelson,القرى_والمنتجعات_السياحية,unique,unique,recovered_parser_used,
